+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1000     | 
| noServices    | 1000     | 
| noShipments   | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 192013.9622587949                        | 
| noVehicles    | 75                                       | 
| unassgndJobs  | 314                                      | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | 1_1_vehicle          | start                 | -               | undef           | 0               | 0               |
| 1       | 1_1_vehicle          | service               | 872             | 38              | 90              | 38              |
| 1       | 1_1_vehicle          | service               | 658             | 112             | 142             | 59              |
| 1       | 1_1_vehicle          | service               | 128             | 144             | 174             | 62              |
| 1       | 1_1_vehicle          | service               | 836             | 188             | 218             | 76              |
| 1       | 1_1_vehicle          | service               | 68              | 223             | 270             | 80              |
| 1       | 1_1_vehicle          | service               | 930             | 296             | 326             | 107             |
| 1       | 1_1_vehicle          | service               | 227             | 334             | 364             | 114             |
| 1       | 1_1_vehicle          | service               | 737             | 377             | 407             | 128             |
| 1       | 1_1_vehicle          | service               | 70              | 413             | 450             | 133             |
| 1       | 1_1_vehicle          | service               | 983             | 464             | 510             | 148             |
| 1       | 1_1_vehicle          | end                   | -               | 529             | undef           | 167             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 2       | 3_9_vehicle          | start                 | -               | undef           | 0               | 0               |
| 2       | 3_9_vehicle          | service               | 325             | 24              | 180             | 24              |
| 2       | 3_9_vehicle          | service               | 428             | 200             | 240             | 44              |
| 2       | 3_9_vehicle          | service               | 380             | 249             | 279             | 53              |
| 2       | 3_9_vehicle          | service               | 688             | 283             | 313             | 58              |
| 2       | 3_9_vehicle          | service               | 765             | 335             | 365             | 80              |
| 2       | 3_9_vehicle          | service               | 271             | 374             | 404             | 88              |
| 2       | 3_9_vehicle          | service               | 13              | 412             | 442             | 96              |
| 2       | 3_9_vehicle          | service               | 139             | 465             | 495             | 119             |
| 2       | 3_9_vehicle          | end                   | -               | 513             | undef           | 137             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 3       | 5_9_vehicle          | start                 | -               | undef           | 0               | 0               |
| 3       | 5_9_vehicle          | service               | 290             | 44              | 74              | 44              |
| 3       | 5_9_vehicle          | service               | 14              | 89              | 119             | 59              |
| 3       | 5_9_vehicle          | service               | 10              | 137             | 167             | 77              |
| 3       | 5_9_vehicle          | service               | 643             | 184             | 214             | 94              |
| 3       | 5_9_vehicle          | service               | 587             | 220             | 250             | 100             |
| 3       | 5_9_vehicle          | service               | 600             | 317             | 347             | 167             |
| 3       | 5_9_vehicle          | service               | 496             | 350             | 390             | 170             |
| 3       | 5_9_vehicle          | service               | 938             | 420             | 450             | 200             |
| 3       | 5_9_vehicle          | service               | 304             | 468             | 498             | 219             |
| 3       | 5_9_vehicle          | end                   | -               | 566             | undef           | 287             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 4       | 4_5_vehicle          | start                 | -               | undef           | 0               | 0               |
| 4       | 4_5_vehicle          | service               | 923             | 18              | 90              | 18              |
| 4       | 4_5_vehicle          | service               | 371             | 97              | 127             | 25              |
| 4       | 4_5_vehicle          | service               | 297             | 129             | 180             | 27              |
| 4       | 4_5_vehicle          | service               | 276             | 198             | 228             | 45              |
| 4       | 4_5_vehicle          | service               | 567             | 244             | 274             | 61              |
| 4       | 4_5_vehicle          | service               | 141             | 277             | 307             | 65              |
| 4       | 4_5_vehicle          | service               | 531             | 315             | 345             | 72              |
| 4       | 4_5_vehicle          | service               | 620             | 359             | 390             | 86              |
| 4       | 4_5_vehicle          | service               | 624             | 394             | 424             | 91              |
| 4       | 4_5_vehicle          | service               | 893             | 442             | 472             | 108             |
| 4       | 4_5_vehicle          | end                   | -               | 508             | undef           | 144             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 5       | 2_1_vehicle          | start                 | -               | undef           | 0               | 0               |
| 5       | 2_1_vehicle          | service               | 399             | 98              | 128             | 98              |
| 5       | 2_1_vehicle          | service               | 581             | 136             | 180             | 106             |
| 5       | 2_1_vehicle          | service               | 180             | 188             | 218             | 114             |
| 5       | 2_1_vehicle          | service               | 430             | 225             | 255             | 121             |
| 5       | 2_1_vehicle          | service               | 642             | 260             | 290             | 126             |
| 5       | 2_1_vehicle          | service               | 669             | 303             | 333             | 138             |
| 5       | 2_1_vehicle          | service               | 258             | 336             | 366             | 141             |
| 5       | 2_1_vehicle          | service               | 603             | 376             | 406             | 152             |
| 5       | 2_1_vehicle          | service               | 340             | 412             | 450             | 157             |
| 5       | 2_1_vehicle          | service               | 949             | 478             | 508             | 185             |
| 5       | 2_1_vehicle          | end                   | -               | 590             | undef           | 267             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 6       | 4_13_vehicle         | start                 | -               | undef           | 0               | 0               |
| 6       | 4_13_vehicle         | service               | 621             | 51              | 81              | 51              |
| 6       | 4_13_vehicle         | service               | 639             | 109             | 150             | 79              |
| 6       | 4_13_vehicle         | service               | 865             | 154             | 210             | 83              |
| 6       | 4_13_vehicle         | service               | 632             | 214             | 244             | 87              |
| 6       | 4_13_vehicle         | service               | 72              | 252             | 282             | 95              |
| 6       | 4_13_vehicle         | service               | 783             | 300             | 330             | 113             |
| 6       | 4_13_vehicle         | service               | 203             | 336             | 366             | 119             |
| 6       | 4_13_vehicle         | service               | 623             | 389             | 420             | 142             |
| 6       | 4_13_vehicle         | service               | 193             | 431             | 461             | 153             |
| 6       | 4_13_vehicle         | service               | 797             | 479             | 510             | 171             |
| 6       | 4_13_vehicle         | end                   | -               | 552             | undef           | 213             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 7       | 1_2_vehicle          | start                 | -               | undef           | 0               | 0               |
| 7       | 1_2_vehicle          | service               | 991             | 47              | 77              | 47              |
| 7       | 1_2_vehicle          | service               | 990             | 92              | 122             | 62              |
| 7       | 1_2_vehicle          | service               | 259             | 143             | 173             | 83              |
| 7       | 1_2_vehicle          | service               | 282             | 188             | 218             | 98              |
| 7       | 1_2_vehicle          | service               | 398             | 267             | 300             | 147             |
| 7       | 1_2_vehicle          | service               | 279             | 308             | 338             | 155             |
| 7       | 1_2_vehicle          | service               | 481             | 346             | 376             | 162             |
| 7       | 1_2_vehicle          | service               | 156             | 392             | 422             | 178             |
| 7       | 1_2_vehicle          | service               | 822             | 435             | 465             | 192             |
| 7       | 1_2_vehicle          | service               | 771             | 474             | 504             | 201             |
| 7       | 1_2_vehicle          | end                   | -               | 543             | undef           | 240             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 8       | 2_6_vehicle          | start                 | -               | undef           | 0               | 0               |
| 8       | 2_6_vehicle          | service               | 272             | 19              | 60              | 19              |
| 8       | 2_6_vehicle          | service               | 719             | 109             | 139             | 68              |
| 8       | 2_6_vehicle          | service               | 717             | 177             | 210             | 106             |
| 8       | 2_6_vehicle          | service               | 837             | 219             | 249             | 115             |
| 8       | 2_6_vehicle          | service               | 550             | 257             | 287             | 123             |
| 8       | 2_6_vehicle          | service               | 532             | 315             | 345             | 151             |
| 8       | 2_6_vehicle          | service               | 755             | 360             | 390             | 166             |
| 8       | 2_6_vehicle          | service               | 329             | 399             | 429             | 175             |
| 8       | 2_6_vehicle          | service               | 663             | 436             | 510             | 182             |
| 8       | 2_6_vehicle          | end                   | -               | 565             | undef           | 238             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 9       | 2_3_vehicle          | start                 | -               | undef           | 0               | 0               |
| 9       | 2_3_vehicle          | service               | 965             | 85              | 120             | 85              |
| 9       | 2_3_vehicle          | service               | 589             | 130             | 160             | 96              |
| 9       | 2_3_vehicle          | service               | 421             | 170             | 200             | 106             |
| 9       | 2_3_vehicle          | service               | 451             | 213             | 243             | 118             |
| 9       | 2_3_vehicle          | service               | 475             | 256             | 300             | 132             |
| 9       | 2_3_vehicle          | service               | 596             | 312             | 342             | 144             |
| 9       | 2_3_vehicle          | service               | 555             | 347             | 377             | 149             |
| 9       | 2_3_vehicle          | service               | 25              | 380             | 410             | 152             |
| 9       | 2_3_vehicle          | service               | 507             | 422             | 452             | 164             |
| 9       | 2_3_vehicle          | service               | 557             | 452             | 510             | 164             |
| 9       | 2_3_vehicle          | end                   | -               | 553             | undef           | 207             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 10      | 1_13_vehicle         | start                 | -               | undef           | 0               | 0               |
| 10      | 1_13_vehicle         | service               | 672             | 60              | 90              | 60              |
| 10      | 1_13_vehicle         | service               | 278             | 90              | 120             | 60              |
| 10      | 1_13_vehicle         | service               | 483             | 162             | 192             | 102             |
| 10      | 1_13_vehicle         | service               | 703             | 211             | 241             | 121             |
| 10      | 1_13_vehicle         | service               | 775             | 256             | 286             | 136             |
| 10      | 1_13_vehicle         | service               | 212             | 297             | 327             | 147             |
| 10      | 1_13_vehicle         | service               | 411             | 331             | 361             | 151             |
| 10      | 1_13_vehicle         | service               | 569             | 407             | 437             | 197             |
| 10      | 1_13_vehicle         | service               | 754             | 444             | 474             | 204             |
| 10      | 1_13_vehicle         | service               | 986             | 480             | 510             | 210             |
| 10      | 1_13_vehicle         | end                   | -               | 592             | undef           | 292             |
